Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
42.0,self enquiry,1,15.0,salaried,male,3,4.0,king,3.0,single,1.0,0,1,1,1.0,vp,34613.0,0
57.0,self enquiry,3,18.0,small business,female,3,5.0,deluxe,5.0,married,6.0,0,5,0,2.0,manager,24058.0,0
39.0,company invited,1,19.0,salaried,male,3,5.0,deluxe,5.0,married,4.0,0,5,1,1.0,manager,24966.0,0
33.0,self enquiry,3,20.0,salaried,male,4,4.0,deluxe,3.0,married,4.0,0,1,0,3.0,manager,23081.0,0
37.0,self enquiry,1,10.0,large business,male,2,4.0,deluxe,4.0,single,6.0,0,2,1,1.0,manager,23163.0,0
50.0,self enquiry,1,27.0,small business,female,4,4.0,deluxe,5.0,divorced,3.0,0,2,1,3.0,manager,25245.0,0
37.0,company invited,1,30.0,small business,male,3,2.0,deluxe,3.0,married,6.0,0,3,0,1.0,manager,21249.0,0
34.0,company invited,3,10.0,small business,female,3,3.0,deluxe,3.0,divorced,1.0,0,2,1,0.0,manager,21538.0,0
58.0,self enquiry,1,27.0,small business,female,3,3.0,deluxe,4.0,married,5.0,0,3,1,1.0,manager,25008.0,1
37.0,self enquiry,1,34.0,small business,male,4,4.0,deluxe,3.0,divorced,8.0,0,3,1,1.0,manager,23915.0,0
37.0,self enquiry,1,6.0,salaried,female,3,3.0,deluxe,4.0,married,7.0,0,1,1,2.0,manager,21447.0,0
37.0,company invited,3,18.0,large business,female,4,4.0,standard,3.0,married,2.0,0,5,0,3.0,senior manager,28416.0,0
23.0,self enquiry,1,9.0,large business,male,4,4.0,basic,3.0,divorced,2.0,0,5,1,3.0,executive,21201.0,0
30.0,self enquiry,1,22.0,salaried,female,3,5.0,deluxe,3.0,single,2.0,1,3,0,1.0,manager,22871.0,0
54.0,self enquiry,3,13.0,small business,male,3,4.0,deluxe,3.0,divorced,4.0,1,5,0,1.0,manager,20984.0,0
30.0,self enquiry,1,17.0,salaried,female,4,5.0,basic,5.0,single,8.0,1,5,1,2.0,executive,21082.0,1
38.0,company invited,3,16.0,small business,male,4,4.0,standard,4.0,married,3.0,0,2,1,1.0,senior manager,27512.0,0
45.0,company invited,1,24.0,salaried,male,4,6.0,basic,3.0,single,4.0,0,4,1,1.0,executive,20968.0,0
54.0,self enquiry,2,25.0,small business,male,2,3.0,standard,4.0,divorced,3.0,0,3,1,0.0,senior manager,25725.0,0
30.0,self enquiry,1,26.0,salaried,male,2,3.0,deluxe,5.0,divorced,1.0,0,4,1,0.0,manager,24957.0,0
53.0,self enquiry,3,8.0,small business,male,2,3.0,super deluxe,3.0,married,7.0,0,3,1,0.0,avp,29852.0,0
40.0,self enquiry,3,10.0,small business,male,3,4.0,standard,3.0,married,1.0,0,1,1,1.0,senior manager,25855.0,0
22.0,self enquiry,1,7.0,large business,female,4,5.0,basic,4.0,single,3.0,1,5,0,3.0,executive,20748.0,0
34.0,company invited,3,32.0,small business,female,3,4.0,deluxe,3.0,divorced,3.0,0,3,0,2.0,manager,23217.0,0
25.0,self enquiry,3,11.0,small business,male,2,4.0,deluxe,3.0,single,2.0,1,3,1,0.0,manager,20744.0,1
34.0,company invited,1,21.0,small business,male,3,3.0,super deluxe,5.0,married,1.0,0,4,1,2.0,avp,32007.0,0
42.0,self enquiry,1,8.0,salaried,male,3,4.0,deluxe,3.0,single,4.0,0,2,0,1.0,manager,21781.0,0
20.0,self enquiry,1,16.0,salaried,male,3,4.0,basic,5.0,single,3.0,0,3,0,2.0,executive,21230.0,0
43.0,company invited,1,15.0,small business,male,3,3.0,deluxe,3.0,married,4.0,1,3,1,2.0,manager,20679.0,0
35.0,self enquiry,1,6.0,small business,male,2,4.0,basic,3.0,divorced,7.0,0,2,1,1.0,executive,17258.0,0
46.0,self enquiry,1,36.0,small business,male,3,4.0,basic,3.0,single,7.0,0,2,1,1.0,executive,22130.0,0
47.0,self enquiry,1,8.0,salaried,female,2,3.0,super deluxe,3.0,married,2.0,1,4,1,0.0,avp,31752.0,0
40.0,self enquiry,1,8.0,small business,male,2,3.0,king,3.0,married,1.0,0,5,0,0.0,vp,34436.0,0
46.0,self enquiry,3,10.0,small business,female,2,4.0,king,4.0,divorced,3.0,0,5,1,0.0,vp,33789.0,0
24.0,self enquiry,1,23.0,salaried,female,3,3.0,basic,4.0,married,2.0,0,1,1,2.0,executive,17210.0,1
39.0,company invited,1,9.0,small business,female,3,5.0,basic,4.0,single,3.0,0,1,1,1.0,executive,21118.0,0
26.0,self enquiry,2,9.0,salaried,female,3,4.0,basic,4.0,married,6.0,0,4,0,1.0,executive,20865.0,0
28.0,self enquiry,3,16.0,small business,male,3,3.0,basic,4.0,divorced,2.0,0,5,1,1.0,executive,16052.0,0
23.0,company invited,1,10.0,salaried,male,3,5.0,basic,3.0,divorced,2.0,1,3,0,1.0,executive,21531.0,1
48.0,self enquiry,1,6.0,salaried,male,3,4.0,standard,3.0,single,1.0,1,5,0,2.0,senior manager,20381.0,1
53.0,company invited,3,8.0,small business,female,2,4.0,standard,4.0,divorced,3.0,0,2,0,1.0,senior manager,22525.0,0
33.0,self enquiry,1,10.0,small business,female,4,4.0,deluxe,5.0,married,3.0,0,1,1,1.0,manager,25403.0,0
41.0,company invited,3,9.0,small business,male,4,4.0,deluxe,4.0,divorced,7.0,0,4,1,3.0,manager,23005.0,0
35.0,self enquiry,3,11.0,salaried,male,4,4.0,standard,3.0,married,4.0,1,4,0,3.0,senior manager,28391.0,0
35.0,self enquiry,1,6.0,salaried,female,3,5.0,basic,3.0,married,2.0,0,3,0,1.0,executive,17977.0,0
50.0,self enquiry,1,7.0,large business,female,3,4.0,basic,5.0,married,4.0,0,4,0,1.0,executive,22258.0,0
35.0,company invited,1,7.0,small business,male,4,5.0,deluxe,5.0,single,2.0,0,2,1,3.0,manager,24021.0,0
37.0,company invited,3,7.0,small business,female,3,4.0,deluxe,3.0,single,6.0,0,2,1,2.0,manager,25331.0,0
36.0,self enquiry,3,8.0,small business,male,3,4.0,standard,3.0,married,2.0,0,1,1,1.0,senior manager,22596.0,0
54.0,self enquiry,3,7.0,small business,female,3,4.0,deluxe,5.0,single,2.0,0,1,1,2.0,manager,27059.0,0
37.0,self enquiry,3,10.0,small business,female,4,5.0,standard,3.0,married,2.0,0,3,1,1.0,senior manager,26322.0,0
26.0,self enquiry,3,34.0,small business,male,3,3.0,deluxe,4.0,divorced,2.0,0,3,1,0.0,manager,21272.0,0
31.0,self enquiry,1,7.0,small business,male,4,4.0,basic,4.0,married,3.0,0,5,0,2.0,executive,22426.0,0
38.0,self enquiry,1,18.0,small business,female,4,6.0,deluxe,4.0,married,7.0,0,4,1,1.0,manager,23455.0,1
35.0,self enquiry,1,13.0,salaried,female,3,5.0,deluxe,4.0,married,8.0,0,3,1,1.0,manager,23183.0,0
36.0,company invited,1,14.0,salaried,female,3,1.0,standard,5.0,married,1.0,0,3,0,1.0,senior manager,26713.0,0
50.0,self enquiry,1,35.0,salaried,male,2,4.0,super deluxe,3.0,married,1.0,0,5,1,1.0,avp,32046.0,0
28.0,self enquiry,1,15.0,small business,female,3,2.0,basic,3.0,married,2.0,0,4,0,1.0,executive,22195.0,0
35.0,self enquiry,3,7.0,small business,male,3,4.0,standard,3.0,single,3.0,0,5,1,1.0,senior manager,28566.0,0
30.0,self enquiry,1,14.0,salaried,male,3,4.0,deluxe,3.0,married,3.0,1,3,0,1.0,manager,25301.0,0
36.0,self enquiry,3,9.0,small business,female,3,4.0,standard,3.0,married,1.0,0,3,1,0.0,senior manager,22644.0,0
21.0,self enquiry,3,18.0,salaried,female,2,2.0,basic,4.0,single,2.0,0,5,0,1.0,executive,17716.0,1
27.0,self enquiry,1,6.0,salaried,female,3,3.0,standard,5.0,divorced,2.0,0,4,1,2.0,senior manager,22412.0,0
34.0,company invited,1,12.0,salaried,female,4,4.0,standard,4.0,married,8.0,0,3,1,2.0,senior manager,30556.0,0
26.0,self enquiry,1,6.0,salaried,female,2,4.0,basic,3.0,married,2.0,1,4,0,0.0,executive,17933.0,0
32.0,self enquiry,1,31.0,small business,female,4,5.0,deluxe,5.0,single,3.0,0,5,1,1.0,manager,25490.0,0
60.0,self enquiry,3,22.0,small business,male,2,3.0,deluxe,5.0,single,1.0,0,4,1,1.0,manager,20405.0,0
27.0,company invited,3,36.0,small business,male,4,6.0,deluxe,5.0,single,2.0,0,3,1,2.0,manager,23647.0,1
32.0,self enquiry,1,27.0,salaried,male,3,4.0,deluxe,3.0,married,3.0,0,5,0,1.0,manager,22875.0,0
42.0,self enquiry,3,30.0,salaried,male,4,4.0,standard,3.0,single,5.0,1,3,0,3.0,senior manager,25760.0,0
27.0,self enquiry,2,32.0,salaried,female,4,4.0,basic,3.0,married,3.0,0,4,1,2.0,executive,21620.0,0
26.0,self enquiry,3,15.0,salaried,male,3,3.0,deluxe,4.0,divorced,2.0,0,4,0,1.0,manager,23529.0,0
36.0,self enquiry,1,9.0,salaried,female,2,3.0,basic,3.0,married,6.0,0,2,1,0.0,executive,17835.0,0
61.0,self enquiry,1,7.0,small business,male,4,6.0,standard,3.0,married,5.0,0,5,0,1.0,senior manager,29561.0,0
31.0,self enquiry,2,24.0,salaried,male,2,1.0,basic,5.0,married,1.0,0,1,1,0.0,executive,17956.0,1
32.0,company invited,1,10.0,small business,male,3,4.0,basic,5.0,married,3.0,1,1,0,1.0,executive,21743.0,0
32.0,company invited,1,11.0,large business,male,3,3.0,basic,4.0,single,3.0,0,3,1,1.0,executive,17718.0,0
36.0,company invited,3,9.0,small business,male,2,4.0,standard,3.0,married,5.0,0,1,0,0.0,senior manager,24699.0,0
31.0,self enquiry,1,6.0,salaried,male,3,4.0,basic,5.0,divorced,2.0,0,4,0,0.0,executive,17218.0,0
38.0,self enquiry,3,17.0,salaried,female,3,5.0,deluxe,3.0,married,4.0,1,4,1,2.0,manager,25372.0,0
36.0,self enquiry,1,7.0,salaried,female,3,2.0,basic,3.0,single,5.0,0,3,1,2.0,executive,21184.0,0
54.0,self enquiry,3,9.0,small business,female,2,3.0,deluxe,5.0,divorced,3.0,0,4,1,1.0,manager,20940.0,0
35.0,self enquiry,1,14.0,salaried,female,3,4.0,standard,4.0,single,2.0,0,3,1,1.0,senior manager,30672.0,0
30.0,self enquiry,3,12.0,small business,male,3,5.0,deluxe,4.0,married,3.0,1,5,0,1.0,manager,22865.0,0
36.0,self enquiry,3,7.0,small business,male,3,5.0,deluxe,5.0,single,2.0,0,1,1,2.0,manager,22990.0,0
21.0,company invited,3,15.0,small business,male,2,3.0,basic,3.0,single,2.0,0,4,0,0.0,executive,17610.0,0
38.0,company invited,1,16.0,small business,male,3,4.0,basic,3.0,married,3.0,1,1,0,2.0,executive,21004.0,0
48.0,company invited,1,10.0,small business,male,2,4.0,super deluxe,3.0,married,3.0,0,5,1,1.0,avp,30202.0,0
29.0,self enquiry,1,10.0,small business,female,4,4.0,standard,4.0,married,2.0,0,4,0,1.0,senior manager,26333.0,0
41.0,self enquiry,1,16.0,salaried,male,3,4.0,basic,5.0,single,5.0,0,1,1,2.0,executive,20696.0,1
30.0,self enquiry,1,28.0,salaried,female,2,3.0,basic,3.0,divorced,5.0,1,2,0,1.0,executive,17132.0,1
37.0,self enquiry,1,9.0,small business,male,4,4.0,basic,3.0,single,6.0,0,5,1,2.0,executive,21197.0,0
42.0,self enquiry,3,27.0,small business,female,4,4.0,basic,4.0,single,3.0,1,4,0,3.0,executive,21818.0,1
42.0,company invited,1,32.0,small business,female,2,3.0,standard,5.0,divorced,4.0,1,3,0,1.0,senior manager,28191.0,0
43.0,self enquiry,1,7.0,salaried,female,4,4.0,basic,5.0,married,5.0,0,3,0,3.0,executive,21254.0,0
41.0,company invited,3,10.0,small business,male,2,3.0,deluxe,4.0,single,2.0,0,3,1,0.0,manager,24355.0,1
53.0,self enquiry,3,8.0,salaried,female,3,4.0,super deluxe,3.0,divorced,3.0,0,3,1,0.0,avp,30427.0,0
35.0,company invited,1,6.0,small business,male,3,3.0,basic,5.0,married,5.0,0,1,0,1.0,executive,17194.0,0
31.0,self enquiry,3,19.0,small business,male,3,4.0,deluxe,5.0,married,6.0,1,1,1,0.0,manager,17302.0,1
35.0,self enquiry,1,34.0,small business,female,4,4.0,basic,4.0,single,4.0,0,3,1,1.0,executive,20989.0,0
21.0,company invited,1,16.0,salaried,female,2,4.0,basic,3.0,single,2.0,0,4,1,0.0,executive,17625.0,1
30.0,self enquiry,1,11.0,large business,female,2,3.0,basic,5.0,married,6.0,0,5,0,1.0,executive,18204.0,0
38.0,self enquiry,3,15.0,small business,male,3,4.0,basic,4.0,divorced,1.0,0,4,0,0.0,executive,17899.0,0
52.0,self enquiry,1,10.0,small business,female,4,4.0,super deluxe,4.0,single,5.0,0,5,0,2.0,avp,32412.0,0
32.0,self enquiry,1,8.0,large business,male,2,4.0,deluxe,5.0,single,5.0,0,4,0,1.0,manager,17176.0,0
44.0,self enquiry,3,15.0,salaried,male,3,4.0,basic,5.0,married,4.0,0,1,1,2.0,executive,34190.0,1
34.0,self enquiry,1,13.0,salaried,male,3,3.0,deluxe,3.0,married,2.0,0,3,0,0.0,manager,17585.0,1
39.0,self enquiry,1,8.0,salaried,female,3,3.0,basic,5.0,married,2.0,1,1,1,0.0,executive,32123.0,1
53.0,self enquiry,3,13.0,small business,female,3,4.0,standard,3.0,married,1.0,1,1,0,1.0,senior manager,25934.0,0
34.0,self enquiry,1,7.0,salaried,female,3,5.0,deluxe,3.0,single,2.0,0,4,1,2.0,manager,25627.0,0
40.0,company invited,1,15.0,small business,female,2,3.0,standard,3.0,single,1.0,0,4,0,0.0,senior manager,28499.0,0
43.0,self enquiry,1,36.0,salaried,male,4,4.0,deluxe,4.0,divorced,3.0,0,3,1,2.0,manager,23112.0,0
32.0,company invited,3,27.0,salaried,male,4,2.0,basic,3.0,married,2.0,0,5,1,1.0,executive,21469.0,0
27.0,self enquiry,1,9.0,small business,male,2,4.0,basic,3.0,single,1.0,0,1,1,1.0,executive,17045.0,0
30.0,self enquiry,1,7.0,large business,male,4,5.0,basic,5.0,single,8.0,0,3,0,3.0,executive,21040.0,1
35.0,company invited,1,10.0,salaried,male,3,4.0,deluxe,3.0,single,2.0,0,2,1,1.0,manager,26434.0,0
46.0,self enquiry,1,8.0,large business,male,2,3.0,deluxe,3.0,married,3.0,0,2,1,0.0,manager,22379.0,0
36.0,self enquiry,1,7.0,large business,female,3,5.0,standard,5.0,married,3.0,1,1,1,0.0,senior manager,25252.0,0
30.0,self enquiry,1,9.0,large business,female,2,3.0,basic,5.0,single,6.0,1,4,0,0.0,executive,17657.0,1
30.0,company invited,1,17.0,salaried,female,3,5.0,basic,3.0,single,3.0,0,4,1,1.0,executive,25301.0,1
28.0,company invited,1,7.0,large business,male,3,5.0,deluxe,5.0,divorced,7.0,0,3,0,2.0,manager,22976.0,0
29.0,company invited,3,20.0,large business,female,3,4.0,deluxe,4.0,single,7.0,0,3,1,1.0,manager,22545.0,1
40.0,self enquiry,3,14.0,salaried,male,4,4.0,basic,3.0,married,3.0,1,1,1,3.0,executive,23212.0,1
46.0,self enquiry,3,16.0,salaried,female,3,3.0,standard,4.0,married,6.0,0,1,0,2.0,senior manager,22314.0,1
26.0,self enquiry,3,15.0,salaried,female,3,4.0,deluxe,3.0,married,2.0,1,1,1,2.0,manager,23585.0,0
36.0,self enquiry,3,23.0,small business,male,4,4.0,standard,4.0,married,2.0,0,1,1,2.0,senior manager,26698.0,0
32.0,self enquiry,3,12.0,large business,male,3,4.0,deluxe,3.0,married,3.0,0,5,0,2.0,manager,27024.0,0
29.0,company invited,1,7.0,small business,male,3,5.0,basic,4.0,married,3.0,0,4,1,1.0,executive,21274.0,1
29.0,self enquiry,3,16.0,small business,female,2,4.0,deluxe,4.0,married,2.0,1,5,1,0.0,manager,23268.0,0
33.0,self enquiry,1,36.0,salaried,female,3,5.0,basic,4.0,single,3.0,0,3,1,1.0,executive,21515.0,0
33.0,company invited,1,14.0,salaried,male,4,3.0,basic,4.0,divorced,3.0,0,2,0,2.0,executive,21472.0,0
58.0,self enquiry,1,8.0,salaried,male,2,3.0,king,4.0,single,1.0,1,3,1,1.0,vp,34246.0,1
33.0,self enquiry,3,17.0,small business,male,3,4.0,deluxe,3.0,single,3.0,0,4,1,2.0,manager,24074.0,0
30.0,self enquiry,1,16.0,salaried,male,2,5.0,basic,3.0,single,2.0,0,1,1,1.0,executive,22661.0,0
39.0,company invited,1,9.0,small business,female,4,5.0,basic,4.0,married,6.0,0,3,0,1.0,executive,21146.0,0
33.0,company invited,3,22.0,salaried,female,2,3.0,deluxe,3.0,married,2.0,1,1,0,0.0,manager,20368.0,0
50.0,self enquiry,3,18.0,small business,female,3,4.0,standard,3.0,divorced,3.0,0,4,0,2.0,senior manager,26332.0,1
37.0,self enquiry,3,9.0,salaried,male,2,3.0,standard,3.0,single,3.0,0,3,0,0.0,senior manager,22428.0,0
25.0,self enquiry,3,10.0,salaried,female,3,4.0,deluxe,3.0,divorced,2.0,0,4,1,1.0,manager,23677.0,0
48.0,company invited,3,11.0,small business,male,3,4.0,deluxe,3.0,single,5.0,0,4,0,2.0,manager,21654.0,0
44.0,self enquiry,3,34.0,small business,female,2,1.0,super deluxe,3.0,married,4.0,1,1,1,0.0,avp,28320.0,0
59.0,company invited,2,8.0,salaried,female,2,4.0,king,3.0,divorced,1.0,0,2,1,1.0,vp,33844.0,0
34.0,self enquiry,1,11.0,small business,female,3,5.0,basic,4.0,divorced,8.0,0,4,0,1.0,executive,21300.0,0
40.0,self enquiry,1,8.0,small business,female,3,3.0,basic,3.0,married,3.0,0,1,1,1.0,executive,17001.0,0
48.0,self enquiry,1,7.0,large business,male,4,4.0,basic,3.0,divorced,2.0,0,3,1,1.0,executive,22098.0,0
19.0,self enquiry,3,27.0,salaried,male,2,4.0,basic,4.0,single,2.0,1,1,1,1.0,executive,17121.0,1
38.0,company invited,1,7.0,small business,female,2,4.0,standard,3.0,married,4.0,1,3,0,1.0,senior manager,32281.0,0
35.0,self enquiry,1,22.0,salaried,male,3,3.0,standard,3.0,divorced,5.0,1,2,0,1.0,senior manager,22632.0,0
18.0,self enquiry,1,9.0,small business,male,2,3.0,basic,3.0,single,2.0,0,4,1,0.0,executive,16420.0,1
55.0,self enquiry,1,14.0,small business,female,2,3.0,super deluxe,3.0,married,3.0,1,3,0,1.0,avp,29756.0,0
25.0,self enquiry,3,34.0,salaried,male,2,4.0,deluxe,3.0,divorced,3.0,0,4,0,0.0,manager,23639.0,0
39.0,self enquiry,3,12.0,small business,male,2,1.0,standard,3.0,married,3.0,0,4,1,1.0,senior manager,23237.0,0
49.0,self enquiry,1,7.0,salaried,male,4,5.0,standard,3.0,single,2.0,1,5,0,3.0,senior manager,24059.0,1
38.0,company invited,1,15.0,salaried,male,3,3.0,deluxe,5.0,married,5.0,0,3,0,2.0,manager,21893.0,1
50.0,self enquiry,1,10.0,salaried,male,3,3.0,king,4.0,married,4.0,0,5,1,0.0,vp,34144.0,0
31.0,company invited,3,26.0,small business,female,2,3.0,deluxe,3.0,divorced,2.0,0,2,1,0.0,manager,21932.0,0
43.0,self enquiry,1,9.0,salaried,male,4,5.0,deluxe,3.0,single,5.0,0,2,0,2.0,manager,25459.0,0
30.0,self enquiry,3,13.0,small business,male,2,3.0,basic,4.0,single,1.0,0,1,0,0.0,executive,17983.0,0
38.0,self enquiry,1,17.0,small business,female,4,4.0,basic,5.0,married,8.0,0,1,1,3.0,executive,22130.0,0
